date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:13:59	4450/4450	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20Feb%202024%2010:29:24%20GMT	https://appleswap.ai/	C:/My%20Web%20Sites/appleswap/appleswap.ai/index.html	(from )
17:13:59	1837/1837	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20Feb%202024%2010:29:24%20GMT	https://appleswap.ai/robots.txt		(from )
17:14:00	589/589	---MCZ	200	added ('OK')	application/javascript	etag:W/%2265c0b885-24d%22	https://appleswap.ai/_app.config.js?v=2.8.0-1707128923803	C:/My%20Web%20Sites/appleswap/appleswap.ai/_app.config538f.js	(from https://appleswap.ai/)
17:14:01	30862/30862	---MCZ	200	added ('OK')	image/x-icon	etag:W/%2265c0b883-788e%22	https://appleswap.ai/favicon.ico	C:/My%20Web%20Sites/appleswap/appleswap.ai/favicon.ico	(from https://appleswap.ai/)
17:14:01	4450/4450	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20Feb%202024%2010:29:24%20GMT	https://appleswap.ai/script.js	C:/My%20Web%20Sites/appleswap/appleswap.ai/script.html	(from https://appleswap.ai/)
17:14:02	284062/284062	---MCZ	200	added ('OK')	text/css	etag:W/%2265c0b884-4559e%22	https://appleswap.ai/assets/index.9df13cc8.css	C:/My%20Web%20Sites/appleswap/appleswap.ai/assets/index.9df13cc8.css	(from https://appleswap.ai/)
17:14:03	1369873/1369873	---MCZ	200	added ('OK')	application/javascript	etag:W/%2265c0b884-14e711%22	https://appleswap.ai/assets/index.d1971cae.js	C:/My%20Web%20Sites/appleswap/appleswap.ai/assets/index.d1971cae.js	(from https://appleswap.ai/)
17:14:03	222549/222549	---MCZ	200	added ('OK')	text/css	etag:W/%2265c0b885-36555%22	https://appleswap.ai/assets/app-antd-dark-theme-style.e3b0c442.css	C:/My%20Web%20Sites/appleswap/appleswap.ai/assets/app-antd-dark-theme-style.e3b0c442.css	(from https://appleswap.ai/)
17:14:09	27166/27166	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2265c0b883-6a1e%22	https://appleswap.ai/resource/img/logo.svg	C:/My%20Web%20Sites/appleswap/appleswap.ai/resource/img/logo.svg	(from https://appleswap.ai/)
17:14:10	283/283	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2265c0b884-11b%22	https://appleswap.ai/assets/xx.5f776f5b.svg	C:/My%20Web%20Sites/appleswap/appleswap.ai/assets/xx.5f776f5b.svg	(from https://appleswap.ai/assets/index.9df13cc8.css)
17:14:11	241/241	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2265c0b884-f1%22	https://appleswap.ai/assets/xx.84717c7a.svg	C:/My%20Web%20Sites/appleswap/appleswap.ai/assets/xx.84717c7a.svg	(from https://appleswap.ai/assets/index.9df13cc8.css)
17:14:11	33869/33869	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2265c0b884-844d%22	https://appleswap.ai/assets/ad.01e40953.svg	C:/My%20Web%20Sites/appleswap/appleswap.ai/assets/ad.01e40953.svg	(from https://appleswap.ai/assets/index.9df13cc8.css)
17:14:12	32654/32654	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2265c0b884-7f8e%22	https://appleswap.ai/assets/ad.4b037d69.svg	C:/My%20Web%20Sites/appleswap/appleswap.ai/assets/ad.4b037d69.svg	(from https://appleswap.ai/assets/index.9df13cc8.css)
17:14:13	251/251	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2265c0b884-fb%22	https://appleswap.ai/assets/ae.e646ea13.svg	C:/My%20Web%20Sites/appleswap/appleswap.ai/assets/ae.e646ea13.svg	(from https://appleswap.ai/assets/index.9df13cc8.css)
17:14:13	259/259	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2265c0b884-103%22	https://appleswap.ai/assets/ae.534fefed.svg	C:/My%20Web%20Sites/appleswap/appleswap.ai/assets/ae.534fefed.svg	(from https://appleswap.ai/assets/index.9df13cc8.css)
17:14:14	21242/21242	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2265c0b884-52fa%22	https://appleswap.ai/assets/af.dcf380eb.svg	C:/My%20Web%20Sites/appleswap/appleswap.ai/assets/af.dcf380eb.svg	(from https://appleswap.ai/assets/index.9df13cc8.css)
17:14:15	21108/21108	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2265c0b884-5274%22	https://appleswap.ai/assets/af.2b0f0512.svg	C:/My%20Web%20Sites/appleswap/appleswap.ai/assets/af.2b0f0512.svg	(from https://appleswap.ai/assets/index.9df13cc8.css)
17:14:15	755/755	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2265c0b884-2f3%22	https://appleswap.ai/assets/ag.d8b2d313.svg	C:/My%20Web%20Sites/appleswap/appleswap.ai/assets/ag.d8b2d313.svg	(from https://appleswap.ai/assets/index.9df13cc8.css)
17:14:16	773/773	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2265c0b884-305%22	https://appleswap.ai/assets/ag.0426382d.svg	C:/My%20Web%20Sites/appleswap/appleswap.ai/assets/ag.0426382d.svg	(from https://appleswap.ai/assets/index.9df13cc8.css)
17:14:16	2355/2355	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2265c0b884-933%22	https://appleswap.ai/assets/ai.9404c772.svg	C:/My%20Web%20Sites/appleswap/appleswap.ai/assets/ai.9404c772.svg	(from https://appleswap.ai/assets/index.9df13cc8.css)
17:14:17	2364/2364	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2265c0b884-93c%22	https://appleswap.ai/assets/ai.259c2c73.svg	C:/My%20Web%20Sites/appleswap/appleswap.ai/assets/ai.259c2c73.svg	(from https://appleswap.ai/assets/index.9df13cc8.css)
17:14:17	3217/3217	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2265c0b884-c91%22	https://appleswap.ai/assets/al.d5d048db.svg	C:/My%20Web%20Sites/appleswap/appleswap.ai/assets/al.d5d048db.svg	(from https://appleswap.ai/assets/index.9df13cc8.css)
17:14:18	3219/3219	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2265c0b884-c93%22	https://appleswap.ai/assets/al.21e1b6b5.svg	C:/My%20Web%20Sites/appleswap/appleswap.ai/assets/al.21e1b6b5.svg	(from https://appleswap.ai/assets/index.9df13cc8.css)
17:14:19	228/228	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2265c0b884-e4%22	https://appleswap.ai/assets/am.efb6cdaa.svg	C:/My%20Web%20Sites/appleswap/appleswap.ai/assets/am.efb6cdaa.svg	(from https://appleswap.ai/assets/index.9df13cc8.css)
17:14:19	236/236	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2265c0b884-ec%22	https://appleswap.ai/assets/am.57edcffa.svg	C:/My%20Web%20Sites/appleswap/appleswap.ai/assets/am.57edcffa.svg	(from https://appleswap.ai/assets/index.9df13cc8.css)
17:14:20	1596/1596	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2265c0b884-63c%22	https://appleswap.ai/assets/ao.3c52ff53.svg	C:/My%20Web%20Sites/appleswap/appleswap.ai/assets/ao.3c52ff53.svg	(from https://appleswap.ai/assets/index.9df13cc8.css)
17:14:20	1596/1596	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2265c0b884-63c%22	https://appleswap.ai/assets/ao.a296c39c.svg	C:/My%20Web%20Sites/appleswap/appleswap.ai/assets/ao.a296c39c.svg	(from https://appleswap.ai/assets/index.9df13cc8.css)
